objectPath,objectName,objectType,id
/Explore,testFarmanProject,Project,5qzUEr7hao1g2ntXQSGgy8
/Explore,Default,Project,1cIt4Iw7YYCglAdC3Odpiz
/Explore/testFarmanProject,insideTestFarmanFolder,Folder,a8yDnjflFOCiSnG1dtB2Sf
/SYS,Sample CSV Connection,Connection,3IKRpeFpu6vfQ1F2b7cXcg
/Explore/Default,farmanMapping,DTEMPLATE,6CshTorTD8rfc2BkTnK6qH
